,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）,月曜～金曜（祝祭日・学園指定休校日は運休）
,扇が丘　→　やつかほ,扇が丘　→　やつかほ,扇が丘　→　やつかほ,扇が丘　→　やつかほ,やつかほ　→　扇が丘,やつかほ　→　扇が丘,やつかほ　→　扇が丘,やつかほ　→　扇が丘
,23号館横（乗車のみ）,74号館前（降車のみ）,61号館前（降車のみ）,65号館前（降車のみ）,65号館前（乗車のみ）,61号館前（乗車のみ）,74号館前（乗車のみ）,23号館横（降車のみ）
0,8:20,8:48,8:49,8:50,,,,
1,8:40,9:08,9:09,9:10,,,,
2,9:20,9:48,9:49,9:50,,,,
3,9:40,10:08,10:09,10:10,10:20,10:21,10:22,10:50
4,10:40,11:08,11:09,11:10,11:20,11:21,11:22,11:50
5,12:00,12:28,12:29,12:30,12:40,12:41,12:42,13:10
6,12:30,12:58,12:59,13:00,,,,
7,13:20,13:48,13:49,13:50,14:20,14:21,14:22,14:50
8,,,,,15:10,15:11,15:12,15:40
9,15:10,15:38,15:39,15:40,15:50,15:51,15:52,16:20
10,16:30,16:58,16:59,17:00,17:10,17:11,17:12,17:40
11,17:10,17:38,17:39,17:40,17:40,17:41,17:42,18:10
12,17:50,18:18,18:19,18:20,18:30,18:31,18:32,19:00
13,19:10,19:33,19:34,19:35,20:00,20:01,20:02,20:25
14,,,,,21:00,21:01,21:02,21:25
